Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265035e-04 0.000732530134703524 0.0419708850846616 -5.36706896e-05 -7.32675387e-02 0.146535116627164 8.39584373319382 -0.01610334 -7.32674443 14.65350851729002 839.584193099723 L 1.13686838e-16 3.04634096e-15 3.44875517e-15 3.44073214e-13 L  9.99999732e-01 -7.32530069e-04 -1.07341379e-04 -1.46535077e-01 L .01298384833942277 2.00220721233471 L .00289759917908863 L -0.0028970238532132677 0.002897599179088631 -0.0028970238532132677 5.753258753632071e-07 
0.32 -  0.37038993 -0.33587394 0.736565779316691 42.20211048861078 -1.49027141 -1.64341873 4.43699628145319 254.2211606425084 -10.93776338   2.59173615 10.85502679738266 621.947221991437 -  5.73038506e-13 -5.74857495e-13 -2.46291165e-12 -4.32351044e-12 -  0.74077985 -0.67174788 -2.98054283 -3.28683745 - .81893469656322 9.99931132501509 - .656641856152409 - -2.6566412808221465 2.6566418561524094 -2.6566412808221465 5.753302629862844e-07 
0.33 -  0.35493909 -0.35216223 0.781471080472673 44.774994722612 -1.59998194 -1.61259807 4.54330925743500 260.31244547374 -10.98979687   3.57706216 10.40220887276361 596.002666022892 -  9.74580416e-13 -1.43137413e-12 -1.26631221e-11 -1.46712864e-11 -  0.70987819 -0.70432447 -3.19996388 -3.22519615 - .86088842812662 10.7937631229391 - .78547638387723 - -2.785475808523746 2.785476383877236 -2.785475808523746 5.75353489740138e-07 
0.34 -  0.33839004 -0.36809263 0.827416334191174 47.407463849340 -1.70976565 -1.5717991  4.644933143719442 266.135065255557 -10.95135186   4.58586369 9.91720523208334 568.214004363433 -  9.92258720e-13 -2.06796358e-12 -2.34731488e-11 -1.95620942e-11 -  0.67678007 -0.73618526 -3.4195313  -3.14359819 - .82989086220945 11.60714283075993 - .911480033555921 - -2.9114794581830825 2.9114800335559217 -2.9114794581830825 5.753728391511004e-07 
0.35000000000000003 -  0.32074665 -0.38356432 0.874353041051656 50.09673905668872 -1.81868804 -1.52083512 4.74154642527590 271.6705985336517 -10.81666477   5.6083336  9.4001299565632 538.587773385569 -  5.27506927e-13 -1.74441084e-12 -2.47166554e-11 -1.41144483e-11 -  0.64149329 -0.76712864 -3.63737607 -3.04167023 - .7212949280906 12.43154312856317 - .033855526452413 - -3.033854951081103 3.0338555264524136 -3.033854951081103 5.753713105960401e-07 
0.36 -  0.30202243 -0.39847516 0.922229496819583 52.83985791023571 -1.92576275 -1.4596231  4.8328301240423 276.900769211313 -10.58116509   6.63356925 8.85137889280977 507.146653429179 - -2.00088834e-14 -3.97278654e-13 -1.19953256e-11 -3.11729309e-12 -  0.60404486 -0.79695032 -3.85152549 -2.9192462  - .5314154947668 13.25817338948200 - .151794845007503 - -3.1517942696606855 3.1517948450075033 -3.1517942696606855 5.753468177438492e-07 
0.37 -  0.28224097 -0.41272271 0.970990832142635 55.6336766276687 -2.02996456 -1.38819391 4.91847068647048 281.807611993571 -10.24168601   7.6497247  8.27164299607895 473.930233314271 - -1.97360350e-13  1.25584165e-12 8.59972715e-12 4.69754013e-12 -  0.56448193 -0.82544543 -4.05992913 -2.77638783 - .25769921846978 14.07748244399380 - .264487846407768 - -3.2644872710946817 3.2644878464077682 -3.2644872710946817 5.753130865038258e-07 
0.38 -  0.26143621 -0.42620548 1.020579081723446 58.47487404209062 -2.13024443 -1.3067008  4.99816298444942 286.37364432746 -9.79665477  8.64420616 7.66191756464603 438.9955394313720 - 6.46878107e-14 2.15010232e-12 2.37118911e-11 4.75597517e-12 -  0.52287242 -0.85241095 -4.26048886 -2.61340159 - .89887801170604 14.87931612431761 - .37113161938211 - -3.371131044091754 3.371131619382116 -3.371131044091754 5.752903620148686e-07 
0.39 -  0.23965267 -0.43882411 1.070933283887690 61.359957306850 -2.22554622 -1.2154257  5.07161338568220 290.582042321644 -9.24625334  9.60390781 7.02350680973595 402.417297579263 - 3.30601324e-13 1.41579903e-12 1.94945642e-11 6.26869223e-13 -  0.47930534 -0.87764821 -4.45109243 -2.43085139 - .455098592865029 15.65310742787025 - .47094042986433 - -3.4709398545687042 3.470940429864335 -3.4709398545687042 5.752956306892543e-07 
0.4 -  0.21694537 -0.45048275 1.121989611000499 64.2852693678536 -2.31482491 -1.11478307 5.13854284444133 294.4168178336375 -8.59254036 10.51548327 6.35802329234373 364.2879006971681 -  1.32274636e-13 -1.57172053e-13 1.49111656e-12 5.76164894e-13 -  0.43389074 -0.9009655  -4.62964982 -2.22956613 - .9280208144940 16.38809539109640 - .563156069271078 - -3.563155493951988 3.5631560692710784 -3.563155493951988 5.75319090589943e-07 
0.41000000000000003 -  0.19337964 -0.46109036 1.173681530672370 67.2469981999810 -2.3970658  -1.00532078 5.19868995949878 297.8629936763173 -7.83952618 11.36564565 5.66738187154711 324.717062128603 - -6.11009909e-13 -1.42591716e-12 -2.24026735e-11  1.07644382e-11 -  0.38675928 -0.92218071 -4.7941316  -2.01064157 - .32087814186764 17.07356702320907 - .647058391237206 - -3.647057815885633 3.6470583912372065 -3.647057815885633 5.753515734951975e-07 
