Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265039e-04 0.00073253013608069 0.0419708851635676 -5.36706938e-05 -7.32675392e-02 0.146535116807095 8.39584374350309 -0.01610334 -7.32674443 14.6535085172900 839.584193099722 L -5.22959454e-15 -3.43987627e-12 -4.10808265e-12 -4.49478236e-10 L  9.99999732e-01 -7.32530074e-04 -1.07341384e-04 -1.46535078e-01 L -0.0008593827555036772 -2002.1977012729626 L .00289759921277771 L -0.0028970238858919933 0.002897599212777719 -0.0028970238858919933 5.753268857255738e-07 
89.78 -  1.72549628 10.29716834 1.489994008716689 85.3703681992450 2.59477087 0.35992714 .14743981031209 94.926576428504 -1.65875553 13.15711093 1.182749761077883 67.7665695298692 -  1.68513907 10.79553697 0.02944832 0.15219083 - 1.76585349 9.7987997  5.16009342 0.56766345 - 485.95865680456393 -18614.433893024147 - .671593881480165 - 81.44687445597886 3.6715938814801654 81.44687445597886 85.11846833745902 
89.79 -  1.75135135 10.30137767 1.438578406019334 82.424471163565 2.57358624 0.49062435 .1319261073287 94.037706722938 -2.69349913 12.92606011 1.931816912491952 110.6849558777823 -  1.68543483 10.79701364 0.03001907 0.15234567 - 1.81726786 9.8057417  5.1171534  0.82890302 - 1337.4266960832124 -18517.995357738968 - .666821747299455 - 81.48016878352892 3.6668217472994558 81.48016878352892 85.14699053082838 
89.8 -  1.77692142 10.30695327 1.387366769316664 79.4902605185449 2.54113597 0.61822731 .108877075594639 92.717094482711 -3.69441169 12.58761281 2.672839684847857 153.142433256859 -  1.68572009 10.79856523 0.0295509  0.15229092 - 1.86812275 9.81534131 5.05272103 1.0841637  - 2171.723055790946 -18331.702966258068 - .648889381516055 - 81.52426973412626 3.6488893815160552 81.52426973412626 85.17315911564232 
89.81 -  1.80210112 10.31380948 1.336422336970110 76.5713595553976 2.49846804 0.7418629  .07847011597603 90.974904028740 -4.64976201 12.1477155  3.403045803720783 194.9801620429060 -  1.68598405 10.80013944 0.02865589 0.15216584 - 1.91821818 9.82747952 4.96828019 1.33155996 - 2978.7420285108938 -18058.818599017468 - .61941126079619 - 81.57849989227242 3.619411260796192 81.57849989227242 85.19791115306862 
89.82000000000001 -  1.82679932 10.32187885 1.28581996913828 73.6720574452657 2.44644929 0.86059032 .04085431851800 88.8196775913762 -5.54857739 11.61360456 4.11961174306544 236.0363661101822 -  1.68623194 10.801713   0.02767524 0.15201063 - 1.9673667 9.8420447 4.86522334 1.56917001 - 3749.024927378721 -17704.136791958557 - .579409037267035 - 81.64232569981996 3.5794090372670353 81.64232569981996 85.221734737087 
89.83 -  1.85093229 10.3310923  1.235632087067413 70.7965036199042 2.3859368  0.97356074 .99619169139780 86.260697555422 -6.38114216 10.9937882  4.81989596035262 276.159696220360 -  1.68647015 10.80327045 0.02684425 0.15187637 - 2.01539442 9.85891415 4.74502935 1.7952451  - 4473.724654813066 -17273.492126824032 - .529742535643359 - 81.71520069908355 3.5297425356433596 81.71520069908355 85.24494323472692 
89.84 -  1.87442359 10.34137909 1.185928673091083 67.9487077716689 2.31777793 1.08001726 .94465716092462 83.307986460120 -7.13915266 10.29782401 5.501463061900043 315.210614593991 -  1.68670535 10.80480316 0.02630481 0.15181494 - 2.06214183 9.87795503 4.60925104 2.00821959 - 5145.007623624538 -16773.744619351994 - .471129345106065 - 81.7965655328402 3.4711293451060654 81.7965655328402 85.26769487794627 
89.85000000000001 -  1.89720416 10.35266689 1.136777270630710 65.1325398535406 2.24281029 1.17929498 .88643857153995 79.972306999174 -7.81583064  9.53607995 6.1621039962652 353.0625519066994 -  1.68694386 10.80630838 0.026119   0.15187091 - 2.10746447 9.8990254  4.45950158 2.20671904 - 5756.178744774298 -16212.600392536126 - .40417003964597 - 81.88584794432876 3.404170039645973 81.88584794432876 85.29001798397474 
89.86 -  1.91921228 10.36488172 1.088242984195302 62.35173007911278 2.16186177 1.27082091 .821736685817449 76.2651620207368 -8.40599379  8.71948665 6.79985210661075 389.6028270219379 -  1.68719104 10.80778819 0.02628337 0.15207561 - 2.15123351 9.92197524 4.29744017 2.38956621 - 6301.772821230893 -15598.4189636441 - .329376835338164 - 81.98246277725015 3.3293768353381648 81.98246277725015 85.31183961258832 
89.87 -  1.94039355 10.37794795 1.04038847938126 59.6098689225797 2.07575051 1.35411404 .75076518446261 72.1987945273978 -8.90608395  7.85928877 7.41299497011256 424.733325339157 -  1.68745096 10.80924836 0.02674355 0.15244316 - 2.19333615 9.94664754 4.12475748 2.55578492 - 6777.611448330344 -14940.013521920853 - .247203734718146 - 82.0858119757678 3.2472037347181466 82.0858119757678 85.33301571048594 
89.88 -  1.96070094 10.39178836 0.99327398287285 56.9104071187644 1.98528493 1.42878533 .67375066631346 67.7861876762176 -9.31415463  6.96680258 8.0000820448678 458.370936929316 -  1.68772605 10.81069731 0.02740896 0.15296873 - 2.23367584 9.97287941 3.94316091 2.70460193 - 7180.825732890212 -14246.450432137206 - .15807645013640 - 82.19528458450668 3.158076450136406 82.19528458450668 85.35336103464309 
89.89 -  1.98009475 10.40632406 0.946957282441698 54.256655663087 1.8912637  1.49453768 .59093264833970 63.0410647786829 -9.62982096  6.05318656 8.55992823013265 490.447760521489 -  1.68801706 10.81214499 0.02816718 0.15362866 -  2.27217245 10.00050314 3.75436022 2.8354467  - 7509.846260074527 -13526.853827412515 - .06242063966809 - 82.31025674855448 3.062420639668096 82.31025674855448 85.37267738822257 
89.9 -  1.99854263 10.42147456 0.90149372694718 51.65178581159269 1.79447575 1.55116594 .50256356564351 57.9778893007487 -9.85417598  5.1292304  9.09161352215917 520.911083783789 -  1.68832303 10.81360184 0.02889776 0.15438247 -  2.30876223 10.02934729 3.56005373 2.94794941 - 7764.362717403695 -12790.220586913469 - .960687230865193 - 82.43009171346051 2.9606872308651937 82.43009171346051 85.3907789443257 
89.91 -  2.01601957 10.43715772 0.856936226336311 49.0988290809381 1.69570029 1.59855694 .40890877145921 52.611864862821 -9.98967804  4.20516732 9.59447901417285 549.723154138943 -  1.68864144 10.81507777 0.02948529 0.15517663 -  2.3433977  10.05923768 3.36191528 3.04193725 - 7945.256398252353 -12045.250270660103 - .85337384933638 - 82.5541398252362 2.853373849336385 82.5541398252362 85.40751367457258 
89.92 -  2.03250789 10.45328978 0.813335251643488 46.6006772483826 1.59570677 1.63668944 .310246537152849 46.958935239736 -10.04001469   3.29051301 10.06811954401010 576.860757504957 -  1.68896843 10.81658117 0.02983129 0.15594967 -  2.37604736 10.08999838 3.16158226 3.11742921 - 8054.509432651964 -11300.193748705517 - .741041610848236 - 82.68173853035559 2.7410416108482365 82.68173853035559 85.42278014120383 
89.93 -  2.04799729 10.46978533 0.770738834990911 44.1600823518091 1.49525494 1.66563418 .20686805222298 41.0357843607981 -10.00994853   2.39393368 10.51237333621809 602.314624831157 -  1.68929922 10.81811806 0.0298651  0.15663872 -  2.40669536 10.12145259 2.96064479 3.17462965 - 8095.095021828134 -10562.723360742064 - .62432677734610 - 82.81221237575426 2.624326777346108 82.81221237575426 85.43653915310037 
89.94 -  2.06248478 10.48655735 0.729192569588369 41.7796566897131 1.39509479 1.68555386 .099077424300336 34.8598363097654 -9.90515085  1.52314439 10.92730901687878 626.088688102403 -  1.68962847 10.81969122 0.02955326 0.15718699 -  2.43534108 10.15342348 2.76063632 3.21392072 - 8070.853185680296 -9839.826518266176 - .503947018993240 - 82.94487300882996 2.5039470189932405 82.94487300882996 85.4488200278232 
89.95 -  2.07597472 10.50351719 0.688739609733075 39.46187282119268 1.29596656 1.6967031  .987191679147289 28.4492553248195 -9.73202834  0.68483796 11.31321039927662 648.199208622063 -  1.68995088 10.82129949 0.02890761 0.15755204 -  2.46199857 10.18573488 2.56302552 3.23585416 - 7986.356579308267 -9137.72375489062 - .380702266034775 - 83.07901917744306 2.3807022660347754 83.07901917744306 85.45972144347783 
89.96000000000001 -  2.08847883 10.52057455 0.6494206708100 37.20906356596892 1.19860079 1.69942852 .871540760658806 21.82294579861 -9.49754824 -0.11535644 11.67055944744787 668.673800895293 -  1.69026169 10.8229371  0.02799183 0.15771466 -  2.48669596 10.21821199 2.36920974 3.24114239 - 7846.770813190938 -8461.811376151156 - .255470375998259 - 83.21393672991547 2.2554703759982595 83.21393672991547 85.46940710591373 
89.97 -  2.10001615 10.53763751 0.611274029291783 35.0234220043754 1.10371825 1.69416868 .752467530861995 15.0005522782693 -9.20906644 -0.87288655 12.00001782349224 687.5503753678 -  1.6905574  10.82459314 0.02692658 0.15768801 -  2.5094749  10.25068189 2.18050992 3.23064935 - 7657.7134449557825 -7816.628086584728 - .129198083441693 - 83.34889861503127 2.1291980834416933 83.34889861503127 85.47809669847297 
